Mês,Temperatura Mínima
1,11.71
2,6.06
3,7.50
4,4.14
5,6.00
6,10.02
7,11.01
8,9.57
9,12.35
10,12.58
11,12.24
12,12.31
13,9.38
14,7.06
15,4.55
16,8.35
17,7.67
18,5.23
19,9.62
20,10.73
21,11.26
22,12.45
23,14.08
24,13.53
25,10.64
26,8.38
27,4.94
28,4.18
29,7.68
30,8.04
31,9.35
32,14.50
33,13.46
34,14.59
35,15.47
36,13.23
37,10.44
38,7.98
39,6.60
40,6.20
41,6.39
42,8.24
43,7.53
44,10.08
45,12.21
46,14.89
47,14.75
48,11.97
49,10.80
50,7.07
51,4.77
52,6.73
53,6.25
54,6.82
55,9.61
56,9.73
57,11.20
58,12.79
59,15.01
60,11.82
61,10.28
62,7.52
63,6.49
64,5.48
65,9.26
66,7.72
67,11.25
68,10.49
69,14.39
70,11.86
71,13.35
72,11.01
73,8.98
74,7.36
75,6.94
76,5.04
77,5.28
78,7.86
79,8.42
80,10.33
81,12.88
82,14.97
83,14.88
84,12.12
85,10.61
86,7.95
87,6.85
88,6.40
89,6.66
90,9.57
91,10.78
92,10.60
93,11.35
94,12.57
95,12.50
96,11.10
97,9.49
98,7.99
99,5.65
100,6.36
101,9.59
102,8.35
103,10.04
104,10.97
105,13.86
106,13.31
107,14.59
108,11.30
109,12.52
110,6.21
111,2.78
112,5.33
113,6.75
114,5.95
115,8.71
116,9.37
117,12.51
118,14.03
119,15.09
120,12.18